model_id,domain,arch,scale,distribution,seed,held_out,config,checkpoint,status,notes
othello_transformer_small_synthetic_s0,othello,transformer,small,synthetic,0,no,configs/runs/othello_transformer_small_synthetic_s0.yaml,checkpoints/othello_transformer_small_synthetic_s0/model.pt,planned,
othello_transformer_small_synthetic_s1,othello,transformer,small,synthetic,1,no,configs/runs/othello_transformer_small_synthetic_s1.yaml,checkpoints/othello_transformer_small_synthetic_s1/model.pt,planned,
othello_transformer_small_synthetic_s2,othello,transformer,small,synthetic,2,no,configs/runs/othello_transformer_small_synthetic_s2.yaml,checkpoints/othello_transformer_small_synthetic_s2/model.pt,planned,
othello_transformer_small_championship_s0,othello,transformer,small,championship,0,no,configs/runs/othello_transformer_small_championship_s0.yaml,checkpoints/othello_transformer_small_championship_s0/model.pt,planned,
othello_transformer_small_championship_s1,othello,transformer,small,championship,1,no,configs/runs/othello_transformer_small_championship_s1.yaml,checkpoints/othello_transformer_small_championship_s1/model.pt,planned,
othello_transformer_small_championship_s2,othello,transformer,small,championship,2,no,configs/runs/othello_transformer_small_championship_s2.yaml,checkpoints/othello_transformer_small_championship_s2/model.pt,planned,
othello_transformer_small_mixed_s0,othello,transformer,small,mixed,0,no,configs/runs/othello_transformer_small_mixed_s0.yaml,checkpoints/othello_transformer_small_mixed_s0/model.pt,planned,
othello_transformer_small_mixed_s1,othello,transformer,small,mixed,1,no,configs/runs/othello_transformer_small_mixed_s1.yaml,checkpoints/othello_transformer_small_mixed_s1/model.pt,planned,
othello_transformer_small_mixed_s2,othello,transformer,small,mixed,2,no,configs/runs/othello_transformer_small_mixed_s2.yaml,checkpoints/othello_transformer_small_mixed_s2/model.pt,planned,
othello_transformer_medium_synthetic_s0,othello,transformer,medium,synthetic,0,no,configs/runs/othello_transformer_medium_synthetic_s0.yaml,checkpoints/othello_transformer_medium_synthetic_s0/model.pt,planned,
othello_transformer_medium_synthetic_s1,othello,transformer,medium,synthetic,1,no,configs/runs/othello_transformer_medium_synthetic_s1.yaml,checkpoints/othello_transformer_medium_synthetic_s1/model.pt,planned,
othello_transformer_medium_synthetic_s2,othello,transformer,medium,synthetic,2,no,configs/runs/othello_transformer_medium_synthetic_s2.yaml,checkpoints/othello_transformer_medium_synthetic_s2/model.pt,planned,
