run_id,model_id,diagnostic,domain,arch,scale,distribution,seed,held_out,result,status,notes
othello_transformer_small_synthetic_s0_D1,othello_transformer_small_synthetic_s0,D1,othello,transformer,small,synthetic,0,no,results/D1_next_token/othello_transformer_small_synthetic_s0.json,planned,
othello_transformer_small_synthetic_s0_D2,othello_transformer_small_synthetic_s0,D2,othello,transformer,small,synthetic,0,no,results/D2_state_equiv/othello_transformer_small_synthetic_s0.json,planned,
othello_transformer_small_synthetic_s0_D3,othello_transformer_small_synthetic_s0,D3,othello,transformer,small,synthetic,0,no,results/D3_inductive_bias/othello_transformer_small_synthetic_s0.json,planned,
othello_transformer_small_synthetic_s0_D4,othello_transformer_small_synthetic_s0,D4,othello,transformer,small,synthetic,0,no,results/D4_probing/othello_transformer_small_synthetic_s0.json,planned,
othello_transformer_small_synthetic_s1_D1,othello_transformer_small_synthetic_s1,D1,othello,transformer,small,synthetic,1,no,results/D1_next_token/othello_transformer_small_synthetic_s1.json,planned,
othello_transformer_small_synthetic_s1_D2,othello_transformer_small_synthetic_s1,D2,othello,transformer,small,synthetic,1,no,results/D2_state_equiv/othello_transformer_small_synthetic_s1.json,planned,
othello_transformer_small_synthetic_s1_D3,othello_transformer_small_synthetic_s1,D3,othello,transformer,small,synthetic,1,no,results/D3_inductive_bias/othello_transformer_small_synthetic_s1.json,planned,
othello_transformer_small_synthetic_s1_D4,othello_transformer_small_synthetic_s1,D4,othello,transformer,small,synthetic,1,no,results/D4_probing/othello_transformer_small_synthetic_s1.json,planned,
othello_transformer_small_synthetic_s2_D1,othello_transformer_small_synthetic_s2,D1,othello,transformer,small,synthetic,2,no,results/D1_next_token/othello_transformer_small_synthetic_s2.json,planned,
othello_transformer_small_synthetic_s2_D2,othello_transformer_small_synthetic_s2,D2,othello,transformer,small,synthetic,2,no,results/D2_state_equiv/othello_transformer_small_synthetic_s2.json,planned,
othello_transformer_small_synthetic_s2_D3,othello_transformer_small_synthetic_s2,D3,othello,transformer,small,synthetic,2,no,results/D3_inductive_bias/othello_transformer_small_synthetic_s2.json,planned,
othello_transformer_small_synthetic_s2_D4,othello_transformer_small_synthetic_s2,D4,othello,transformer,small,synthetic,2,no,results/D4_probing/othello_transformer_small_synthetic_s2.json,planned,
othello_transformer_small_championship_s0_D1,othello_transformer_small_championship_s0,D1,othello,transformer,small,championship,0,no,results/D1_next_token/othello_transformer_small_championship_s0.json,planned,
othello_transformer_small_championship_s0_D2,othello_transformer_small_championship_s0,D2,othello,transformer,small,championship,0,no,results/D2_state_equiv/othello_transformer_small_championship_s0.json,planned,
othello_transformer_small_championship_s0_D3,othello_transformer_small_championship_s0,D3,othello,transformer,small,championship,0,no,results/D3_inductive_bias/othello_transformer_small_championship_s0.json,planned,
othello_transformer_small_championship_s0_D4,othello_transformer_small_championship_s0,D4,othello,transformer,small,championship,0,no,results/D4_probing/othello_transformer_small_championship_s0.json,planned,
othello_transformer_small_championship_s1_D1,othello_transformer_small_championship_s1,D1,othello,transformer,small,championship,1,no,results/D1_next_token/othello_transformer_small_championship_s1.json,planned,
othello_transformer_small_championship_s1_D2,othello_transformer_small_championship_s1,D2,othello,transformer,small,championship,1,no,results/D2_state_equiv/othello_transformer_small_championship_s1.json,planned,
othello_transformer_small_championship_s1_D3,othello_transformer_small_championship_s1,D3,othello,transformer,small,championship,1,no,results/D3_inductive_bias/othello_transformer_small_championship_s1.json,planned,
othello_transformer_small_championship_s1_D4,othello_transformer_small_championship_s1,D4,othello,transformer,small,championship,1,no,results/D4_probing/othello_transformer_small_championship_s1.json,planned,
othello_transformer_small_championship_s2_D1,othello_transformer_small_championship_s2,D1,othello,transformer,small,championship,2,no,results/D1_next_token/othello_transformer_small_championship_s2.json,planned,
othello_transformer_small_championship_s2_D2,othello_transformer_small_championship_s2,D2,othello,transformer,small,championship,2,no,results/D2_state_equiv/othello_transformer_small_championship_s2.json,planned,
